year_idx,plot_id,plot_name,region_group,lai_total,cc_total,biomass_ag_t_ha,adult_density_ha,sapling_density_ha,sw_top_mean,sw_sub_mean,al_floor_mean,di_annual_mean,GDD_deciduous,GDD_evergreen,T_winter,trees_died,saplings_died,mortality_rate_pct,tree_age_max,tree_age_mean,sapling_age_max,sapling_age_mean,herb_biomass_kg,herb_lai_mean,saplings_established,trees_recruited,trees_stressed,saplings_stressed,f_env_tree_mean,f_env_sapling_mean
10,0,"SW1","LL",1.824,0.000,2.704,0.000,9711.111,150.013,320.000,1.000,0.000,1105.569,1135.442,-3.660,0,7,0.000,0,0.000,10,6.152,243.395,1.579,30,0,0,0,0.000,0.506
10,1,"SW2","LL",1.538,0.003,2.352,11.111,5644.444,15.096,313.670,1.000,0.019,1147.495,1199.635,-2.920,0,3,0.000,9,9.000,10,6.244,211.009,1.369,48,1,0,0,1.000,0.534
10,2,"SW3","LL",1.154,0.016,1.927,122.222,2844.444,15.809,305.219,1.000,0.024,1236.843,1298.927,-1.824,0,0,0.000,10,10.000,10,5.371,164.401,1.067,35,11,0,0,1.000,0.592
11,0,"SW1","LL",1.828,0.002,2.621,11.111,9977.778,155.895,320.000,1.000,0.000,976.546,1005.862,-3.393,0,10,0.000,10,10.000,11,6.915,235.252,1.527,35,1,0,1,1.000,0.421
11,1,"SW2","LL",1.494,0.106,2.847,788.889,5044.444,32.565,313.215,1.000,0.029,1075.352,1110.574,-3.554,0,6,0.000,11,10.958,11,6.363,198.641,1.289,22,70,0,0,0.993,0.477
11,2,"SW3","LL",1.181,0.086,2.277,588.889,2577.778,8.736,313.245,0.999,0.035,1159.037,1194.513,-3.090,0,1,0.000,11,10.208,11,5.267,163.257,1.059,19,42,0,0,0.903,0.534
12,0,"SW1","LL",1.955,0.098,3.299,733.333,9322.222,141.647,320.000,1.000,0.000,1082.799,1104.062,-4.093,0,14,0.000,12,11.864,12,7.462,243.548,1.580,20,65,0,1,0.992,0.489
12,1,"SW2","LL",1.834,0.289,3.813,1644.444,4911.111,65.063,319.705,0.995,0.000,1166.770,1216.700,-2.220,0,3,0.000,12,11.466,11,5.756,231.756,1.504,68,77,0,0,0.782,0.543
12,2,"SW3","LL",1.480,0.174,2.880,888.889,2722.222,21.906,313.085,0.992,0.011,1191.746,1242.147,-1.957,0,2,0.000,12,10.800,12,4.931,195.871,1.271,42,27,0,0,0.707,0.562
13,0,"SW1","LL",2.129,0.292,4.123,1811.111,8688.889,115.298,320.000,0.996,0.000,1099.881,1146.366,-3.193,0,9,0.000,13,12.337,13,7.578,247.662,1.607,49,97,0,0,0.799,0.520
13,1,"SW2","LL",2.065,0.501,4.506,2344.444,4366.667,96.587,320.000,0.957,0.000,1091.407,1123.236,-3.487,0,4,0.000,13,12.024,10,5.814,237.541,1.541,18,63,0,0,0.640,0.480
13,2,"SW3","LL",1.656,0.283,3.856,1200.000,2733.333,56.290,318.705,0.968,0.016,1129.514,1167.460,-2.824,0,1,0.000,13,11.352,12,4.862,204.209,1.325,30,28,0,0,0.640,0.514
14,0,"SW1","LL",2.264,0.629,5.221,3444.444,7333.333,122.875,320.000,0.968,0.000,1014.230,1036.611,-3.760,0,10,0.000,14,12.710,14,7.429,236.601,1.535,35,147,0,1,0.700,0.449
14,1,"SW2","LL",2.175,0.751,7.486,3011.111,3766.667,33.471,315.585,0.897,0.017,1084.782,1106.555,-4.587,0,4,0.000,14,12.576,11,5.897,211.116,1.370,10,60,0,0,0.590,0.465
14,2,"SW3","LL",1.966,0.427,6.455,1600.000,2555.556,49.058,320.000,0.934,0.000,1124.632,1150.218,-2.924,0,2,0.000,14,11.819,9,4.735,224.709,1.458,22,36,0,0,0.627,0.497
15,0,"SW1","LL",2.546,0.975,7.468,4355.556,6911.111,159.871,320.000,0.905,0.000,1014.230,1036.611,-3.760,1,6,0.254,15,13.403,15,7.328,225.504,1.463,51,83,0,1,0.550,0.447
15,1,"SW2","LL",2.489,1.000,12.985,3544.444,4044.444,27.285,305.819,0.821,0.029,1166.770,1216.700,-2.220,0,3,0.000,15,13.182,12,5.170,186.424,1.210,76,48,0,0,0.609,0.531
15,2,"SW3","LL",2.296,0.585,9.697,1777.778,2611.111,14.880,313.992,0.882,0.001,1200.685,1242.915,-3.057,0,3,0.000,15,12.537,9,4.991,231.616,1.503,24,16,0,0,0.600,0.540
16,0,"SW1","LL",3.003,1.000,13.025,5788.889,5822.222,151.791,320.000,0.808,0.000,1082.799,1104.062,-4.093,0,7,0.000,16,13.869,14,6.798,214.677,1.393,38,129,0,1,0.608,0.473
16,1,"SW2","LL",3.116,1.000,21.071,3700.000,4622.222,62.924,320.000,0.711,0.000,1131.735,1187.409,-2.820,0,2,0.000,16,14.066,12,5.161,188.257,1.222,68,14,0,0,0.537,0.492
